Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Drugs,Sale Price,Sold Price,After Unit Returned
1/6/2020,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart,WHEY PROTEIN,4573.14,4435.9458,4373.9046
1/6/2020,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,VITAMIN C,5908.89,5672.5344,5672.5344
1/6/2020,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,FISH OIL,2078.51,1558.8825,1558.8825
1/6/2020,Multivitamin,Vitamin,140,16.07,2249.8,0.08,0,Canada,Walmart,MULTIVITAMIN,2249.8,2069.816,2069.816
1/6/2020,Pre-Workout,Performance,157,35.47,5568.79,0.25,3,Canada,iHerb,PRE-WORKOUT,5568.79,4176.5925,4096.785
1/6/2020,BCAA,Amino Acid,154,41.19,6343.26,0.13,1,UK,Walmart,BCAA,6343.26,5518.6362,5482.8009
1/6/2020,Creatine,Performance,134,32.49,4353.66,0.05,1,UK,Walmart,CREATINE,4353.66,4135.977,4105.1115
1/6/2020,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,ZINC,6861.96,5558.1876,5558.1876
1/6/2020,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,COLLAGEN PEPTIDES,1611.12,1514.4528,1493.848
1/6/2020,Magnesium,Mineral,134,20.76,2781.84,0,0,Canada,Amazon,MAGNESIUM,2781.84,2781.84,2781.84
1/6/2020,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,ASHWAGANDHA,2803.69,2411.1734,2397.852
1/6/2020,Melatonin,Sleep Aid,164,34.41,5643.24,0.04,1,USA,Walmart,MELATONIN,5643.24,5417.5104,5384.4768
1/6/2020,Biotin,Vitamin,159,28.79,4577.61,0.1,1,UK,iHerb,BIOTIN,4577.61,4119.849,4093.938
1/6/2020,Green Tea Extract,Fat Burner,143,31.88,4558.84,0.06,3,UK,Walmart,GREEN TEA EXTRACT,4558.84,4285.3096,4195.408
1/6/2020,Iron Supplement,Mineral,149,42.97,6402.53,0.22,2,Canada,iHerb,IRON SUPPLEMENT,6402.53,4993.9734,4926.9402
1/6/2020,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon,ELECTROLYTE POWDER,5531.68,5310.4128,5241.4464
1/13/2020,Whey Protein,Protein,150,12.08,1812,0.02,2,UK,Amazon,WHEY PROTEIN,1812,1775.76,1752.0832
1/13/2020,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,VITAMIN C,1358.08,1032.1408,1016.0136
1/13/2020,Fish Oil,Omega,145,27.49,3986.05,0.19,2,USA,Walmart,FISH OIL,3986.05,3228.7005,3184.1667
1/13/2020,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon,MULTIVITAMIN,2044.04,1696.5532,1671.786
1/13/2020,Pre-Workout,Performance,141,14.11,1989.51,0.24,1,Canada,iHerb,PRE-WORKOUT,1989.51,1512.0276,1501.304
1/13/2020,BCAA,Amino Acid,160,29.1,4656,0.05,0,Canada,Amazon,BCAA,4656,4423.2,4423.2
1/13/2020,Creatine,Performance,154,42.2,6498.8,0.13,0,UK,Walmart,CREATINE,6498.8,5653.956,5653.956
1/13/2020,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,ZINC,7299.6,5839.68,5763.84
1/13/2020,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb,COLLAGEN PEPTIDES,7557.6,7104.144,7051.128
1/13/2020,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,MAGNESIUM,6016.2,4572.312,4541.418
1/13/2020,Ashwagandha,Herbal,133,54.35,7228.55,0.16,1,UK,Walmart,ASHWAGANDHA,7228.55,6071.982,6026.328
1/13/2020,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon,MELATONIN,4657.23,3679.2117,3627.0243
1/13/2020,Biotin,Vitamin,161,18.87,3038.07,0.14,5,USA,iHerb,BIOTIN,3038.07,2612.7402,2531.5992
1/13/2020,Green Tea Extract,Fat Burner,174,18.24,3173.76,0.03,2,USA,Walmart,GREEN TEA EXTRACT,3173.76,3078.5472,3043.1616
1/13/2020,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,IRON SUPPLEMENT,5752.27,4544.2933,4488.5351
1/13/2020,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon,ELECTROLYTE POWDER,5348.42,4974.0306,4908.1494
1/20/2020,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart,WHEY PROTEIN,6564.17,5316.9777,5316.9777
1/20/2020,Vitamin C,Vitamin,149,22.33,3327.17,0.18,5,UK,Walmart,VITAMIN C,3327.17,2728.2794,2636.7264
1/20/2020,Fish Oil,Omega,131,50,6550,0.05,1,USA,Walmart,FISH OIL,6550,6222.5,6175
1/20/2020,Multivitamin,Vitamin,159,19.4,3084.6,0.09,2,USA,Walmart,MULTIVITAMIN,3084.6,2806.986,2771.678
1/20/2020,Pre-Workout,Performance,152,48.05,7303.6,0.01,2,USA,iHerb,PRE-WORKOUT,7303.6,7230.564,7135.425
1/20/2020,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,BCAA,2528.8,2326.496,2278.3616
1/20/2020,Creatine,Performance,148,54.31,8037.88,0.15,1,UK,iHerb,CREATINE,8037.88,6832.198,6786.0345
1/20/2020,Zinc,Mineral,147,10.16,1493.52,0.15,1,USA,iHerb,ZINC,1493.52,1269.492,1260.856
1/20/2020,Collagen Peptides,Protein,161,39.41,6345.01,0.12,2,UK,Walmart,COLLAGEN PEPTIDES,6345.01,5583.6088,5514.2472
1/20/2020,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon,MAGNESIUM,4796.82,4125.2652,4092.525
1/20/2020,Ashwagandha,Herbal,156,23.49,3664.44,0.21,1,Canada,iHerb,ASHWAGANDHA,3664.44,2894.9076,2876.3505
1/20/2020,Melatonin,Sleep Aid,128,26.71,3418.88,0.2,2,Canada,iHerb,MELATONIN,3418.88,2735.104,2692.368
1/20/2020,Biotin,Vitamin,161,32.01,5153.61,0.04,1,Canada,Amazon,BIOTIN,5153.61,4947.4656,4916.736
1/20/2020,Green Tea Extract,Fat Burner,148,21.03,3112.44,0.15,2,UK,Walmart,GREEN TEA EXTRACT,3112.44,2645.574,2609.823
1/20/2020,Iron Supplement,Mineral,155,41.81,6480.55,0.2,0,UK,iHerb,IRON SUPPLEMENT,6480.55,5184.44,5184.44
1/20/2020,Electrolyte Powder,Hydration,147,29.19,4290.93,0.14,2,USA,Amazon,ELECTROLYTE POWDER,4290.93,3690.1998,3639.993
1/27/2020,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,WHEY PROTEIN,3662.01,3625.3899,3625.3899
1/27/2020,Vitamin C,Vitamin,163,35.9,5851.7,0.07,4,UK,iHerb,VITAMIN C,5851.7,5442.081,5308.533
1/27/2020,Fish Oil,Omega,141,53.64,7563.24,0.21,0,Canada,iHerb,FISH OIL,7563.24,5974.9596,5974.9596
1/27/2020,Multivitamin,Vitamin,162,34.15,5532.3,0.03,0,UK,iHerb,MULTIVITAMIN,5532.3,5366.331,5366.331
1/27/2020,Pre-Workout,Performance,158,31.84,5030.72,0.18,2,USA,iHerb,PRE-WORKOUT,5030.72,4125.1904,4072.9728
1/27/2020,BCAA,Amino Acid,136,16.77,2280.72,0.19,2,USA,iHerb,BCAA,2280.72,1847.3832,1820.2158
1/27/2020,Creatine,Performance,180,12.85,2313,0.07,1,USA,Walmart,CREATINE,2313,2151.09,2139.1395
1/27/2020,Zinc,Mineral,140,47.97,6715.8,0.11,2,UK,iHerb,ZINC,6715.8,5977.062,5891.6754
1/27/2020,Collagen Peptides,Protein,126,11.68,1471.68,0.02,3,Canada,Walmart,COLLAGEN PEPTIDES,1471.68,1442.2464,1407.9072
1/27/2020,Magnesium,Mineral,135,30.55,4124.25,0.09,3,USA,Amazon,MAGNESIUM,4124.25,3753.0675,3669.666
1/27/2020,Ashwagandha,Herbal,174,30.94,5383.56,0.07,2,Canada,Amazon,ASHWAGANDHA,5383.56,5006.7108,4949.1624
1/27/2020,Melatonin,Sleep Aid,156,38.27,5970.12,0.12,4,UK,iHerb,MELATONIN,5970.12,5253.7056,5118.9952
1/27/2020,Biotin,Vitamin,154,15.7,2417.8,0.04,1,UK,Walmart,BIOTIN,2417.8,2321.088,2306.016
1/27/2020,Green Tea Extract,Fat Burner,141,38.06,5366.46,0.13,0,UK,iHerb,GREEN TEA EXTRACT,5366.46,4668.8202,4668.8202
1/27/2020,Iron Supplement,Mineral,165,13.38,2207.7,0.18,2,USA,iHerb,IRON SUPPLEMENT,2207.7,1810.314,1788.3708
1/27/2020,Electrolyte Powder,Hydration,129,34.23,4415.67,0.04,3,Canada,Amazon,ELECTROLYTE POWDER,4415.67,4239.0432,4140.4608
2/3/2020,Whey Protein,Protein,165,33.11,5463.15,0.1,2,Canada,iHerb,WHEY PROTEIN,5463.15,4916.835,4857.237
2/3/2020,Vitamin C,Vitamin,152,35.63,5415.76,0.2,1,UK,Amazon,VITAMIN C,5415.76,4332.608,4304.104
2/3/2020,Fish Oil,Omega,138,18.24,2517.12,0.08,2,UK,Amazon,FISH OIL,2517.12,2315.7504,2282.1888
2/3/2020,Multivitamin,Vitamin,151,53.89,8137.39,0.22,3,UK,Amazon,MULTIVITAMIN,8137.39,6347.1642,6221.0616
2/3/2020,Pre-Workout,Performance,140,59.25,8295,0.19,0,UK,Amazon,PRE-WORKOUT,8295,6718.95,6718.95
2/3/2020,BCAA,Amino Acid,126,55.46,6987.96,0.13,1,USA,iHerb,BCAA,6987.96,6079.5252,6031.275
2/3/2020,Creatine,Performance,132,51.11,6746.52,0.1,2,Canada,Amazon,CREATINE,6746.52,6071.868,5979.87
2/3/2020,Zinc,Mineral,184,36.17,6655.28,0.07,3,Canada,Amazon,ZINC,6655.28,6189.4104,6088.4961
2/3/2020,Collagen Peptides,Protein,153,49.9,7634.7,0.1,3,UK,Amazon,COLLAGEN PEPTIDES,7634.7,6871.23,6736.5
2/3/2020,Magnesium,Mineral,151,44.79,6763.29,0.2,1,Canada,Amazon,MAGNESIUM,6763.29,5410.632,5374.8
2/3/2020,Ashwagandha,Herbal,135,19.21,2593.35,0.22,2,UK,Amazon,ASHWAGANDHA,2593.35,2022.813,1992.8454
2/3/2020,Melatonin,Sleep Aid,135,40.76,5502.6,0.02,3,Canada,iHerb,MELATONIN,5502.6,5392.548,5272.7136
2/3/2020,Biotin,Vitamin,162,58.36,9454.32,0.1,5,UK,Amazon,BIOTIN,9454.32,8508.888,8246.268
2/3/2020,Green Tea Extract,Fat Burner,156,18.3,2854.8,0.22,1,UK,iHerb,GREEN TEA EXTRACT,2854.8,2226.744,2212.47
2/3/2020,Iron Supplement,Mineral,136,37.99,5166.64,0.13,2,USA,Amazon,IRON SUPPLEMENT,5166.64,4494.9768,4428.8742
2/3/2020,Electrolyte Powder,Hydration,168,46.57,7823.76,0.05,3,Canada,iHerb,ELECTROLYTE POWDER,7823.76,7432.572,7299.8475
2/10/2020,Whey Protein,Protein,163,45.51,7418.13,0.08,1,UK,iHerb,WHEY PROTEIN,7418.13,6824.6796,6782.8104
2/10/2020,Vitamin C,Vitamin,163,27.89,4546.07,0.12,3,UK,Amazon,VITAMIN C,4546.07,4000.5416,3926.912
2/10/2020,Fish Oil,Omega,144,45.6,6566.4,0.21,0,Canada,Amazon,FISH OIL,6566.4,5187.456,5187.456
2/10/2020,Multivitamin,Vitamin,140,27.4,3836,0.11,2,UK,Walmart,MULTIVITAMIN,3836,3414.04,3365.268
2/10/2020,Pre-Workout,Performance,155,27.62,4281.1,0.21,1,USA,iHerb,PRE-WORKOUT,4281.1,3382.069,3360.2492
2/10/2020,BCAA,Amino Acid,134,26.26,3518.84,0.17,0,UK,Amazon,BCAA,3518.84,2920.6372,2920.6372
2/10/2020,Creatine,Performance,137,21.36,2926.32,0.21,1,Canada,iHerb,CREATINE,2926.32,2311.7928,2294.9184
2/10/2020,Zinc,Mineral,155,35.63,5522.65,0.08,1,UK,Amazon,ZINC,5522.65,5080.838,5048.0584
2/10/2020,Collagen Peptides,Protein,155,53.56,8301.8,0.19,2,UK,Walmart,COLLAGEN PEPTIDES,8301.8,6724.458,6637.6908
2/10/2020,Magnesium,Mineral,156,55.36,8636.16,0.17,2,UK,iHerb,MAGNESIUM,8636.16,7168.0128,7076.1152
